,g.id,g.gender,g.age,g.nas,g.province,g.city,g.education,g.occupation,o.indoor,o.outdoor,o.media,o.sports,o.free.offer,o.difficult.quit,o.harm.general,o.harm.water,o.har.fruit.taste,o.work.restriction,o.now.use,n.previous.use,n.why.combined,n.why.choices,n.friend.use,n.meet.friend,n.reaction.family,n.reaction.friend,n.public.indoor.use,n.public.indoor.use.days,n.public.outdoor.use,n.public.outdoor.use.days,n.offer.accept,c.age,c.reason.use.combined,c.reason.use.choices,c.use.quantity,c.morning.affinity,c.light.time,c.hours.affinity,c.which.difficult,c.affinity.sickness,c.where.first,c.how.first,c.enjoy.cigarette,c.restriction.bother,c.effect.increase.friends,c.increases.respect,c.suggest.family.friends,cq.willing.quit,cq.quit.commit,cq.reason.quit.combined,cq.reason.quit.choices,cq.quit.times,cq.quit.interval,cq.last.quit,cq.reason.unsuccessful.quit,cq.quit.methods,cq.quit.negative.combined,cq.quit.negative.choices,cq.ca.quit.again,cq.quit.supporter,h.age,h.main.reason.combined,h.main.reason.choices,h.use.quantity,h.morning.affinity,h.light.time,h.hours.affinity,h.spend.time,h.tobaco.class,h.which.difficult,h.affinity.sickness,h.where.first,h.how.first,h.enjoy.hooka,h.restriction.bother,h.effect.increase.friends,h.increases.respect,h.suggest.family.friends,hq.willing.quit,hq.quit.commit,hq.reason.quit.combined,hq.reason.quit.choices,hq.quit.times,hq.quit.interval,hq.last.quit,hq.reason.unsuccessful.quit,hq.quit.methods,hq.quit.negative.combined,hq.quit.negative.choices,hq.ca.quit.again,hq.quit.supporter,r.shortness,r.productive.cough,r.reduced.capacity,r.respiratory.doctor,r.respiratory.diagnosis,p.p,p.p.code,p.spam,p.date.start,p.date.finish,test.s,test.f,test.len,start.date,start.time,finish.date,finish.time
588,caAI,F,20,141,فارس,شيراز,Bachelors,Student,Yes sir,Yes sir,Yes sir,Yes sir,No,No,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I do not know,No,NA,Yes,1400,Spam,1399/12/19-19:08:11,1399/12/19-19:09:29,1399-12-19 19:08:11,1399-12-19 19:09:29,78,1399/12/19,19:08:11,1399/12/19,19:09:29
589,CfjZ,F,63,143,فارس,اسير,High School,Employee,Yes sir,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Control and reduce traffic,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/19-19:07:27,1399/12/19-19:09:14,1399-12-19 19:07:27,1399-12-19 19:09:14,107,1399/12/19,19:07:27,1399/12/19,19:09:14
590,NqJy,F,65,141,فارس,شيراز,PhDs and above,Retired,Yes sir,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1400,Spam,1399/12/19-19:06:31,1399/12/19-19:08:02,1399-12-19 19:06:31,1399-12-19 19:08:02,91,1399/12/19,19:06:31,1399/12/19,19:08:02
591,bgEG,F,33,140,فارس,شيراز,diplomas,Free,No,No,Yes sir,No,Yes sir,No,Yes sir,No,"It hurts, but very little",No,Hookah fan,No,NA,0,No,NA,I can not point out,I can not point out,No,NA,Yes sir,A week ago,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-19:04:57,1399/12/19-19:06:25,1399-12-19 19:04:57,1399-12-19 19:06:25,88,1399/12/19,19:04:57,1399/12/19,19:06:25
592,t8ol,M,23,140,فارس,شيراز,Bachelors,Student,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,No,Hookah fan,No,NA,0,Yes sir,More than three days a week,Recommended to leave,Advise not to be in my presence,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1400,Spam,1399/12/19-19:01:29,1399/12/19-19:02:55,1399-12-19 19:01:29,1399-12-19 19:02:55,86,1399/12/19,19:01:29,1399/12/19,19:02:55
593,yWAx,F,21,141,فارس,شيراز,Bachelors,Student,Yes sir,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No,"Yes, it is completely harmless",No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-18:59:53,1399/12/19-19:01:23,1399-12-19 18:59:53,1399-12-19 19:01:23,90,1399/12/19,18:59:53,1399/12/19,19:01:23
594,AC8g,M,45,127,فارس,شيراز,diplomas,manual worker,No,No,Yes sir,No,Yes sir,No idea,No idea,No,It is no different from traditional,No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,28,--Gain pleasure-Gain experience-----Curiosity---,3,three times,0,After breakfast,the night,5 to 10 minutes,Fruity,the night,No,When having fun,Out of curiosity,I strongly agree,Yes,There is no difference or effect,It does not matter,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1404,Spam,1399/12/19-17:20:59,1399/12/19-17:24:05,1399-12-19 17:20:59,1399-12-19 17:24:05,186,1399/12/19,17:20:59,1399/12/19,17:24:05
595,nv9x,F,32,127,فارس,شيراز,High School,housewife,No,No,Yes sir,Yes sir,Yes sir,No,No idea,No,It is no different from traditional,No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,20,-Refreshment-Gain pleasure------Curiosity---,3,Twice,0,After breakfast,Evening,15 to 20 minutes,Fruity,Evening,No,Home,Out of curiosity,I agree,Yes,There is no difference or effect,It does not matter,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1404,Spam,1399/12/19-17:14:59,1399/12/19-17:18:58,1399-12-19 17:14:59,1399-12-19 17:18:58,239,1399/12/19,17:14:59,1399/12/19,17:18:58
596,kuzE,M,25,138,سيستان وبلوچستان,زاهدان,PhDs and above,Student,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health---I am not interested--,2,Yes sir,More than three days a week,I do not care,I do not care,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,Maybe I will accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/19-17:01:30,1399/12/19-17:05:47,1399-12-19 17:01:30,1399-12-19 17:05:47,257,1399/12/19,17:01:30,1399/12/19,17:05:47
597,DAhC,M,61,138,فارس,شيراز,Bachelors,Retired,Yes sir,No idea,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,No,Hookah fan,No,NA,0,Yes sir,More than three days a week,Advice not to smoke in my presence,I can not point out,Yes sir,A week ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,Yes,1405,Spam,1399/12/19-17:01:28,1399/12/19-17:03:24,1399-12-19 17:01:28,1399-12-19 17:03:24,116,1399/12/19,17:01:28,1399/12/19,17:03:24
598,4nHk,M,75,118,فارس,شيراز,No education,Retired,No,No,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,-Refreshment-Gain pleasure--Life pressure and stress-------,3,11 to 20 yarns (about one envelope),5,More than an hour,Early morning,Around noon,Yes,Home,Out of curiosity,I strongly agree,No,has no effect,Yes sir,No,Yes,Yes,Fear of getting sick---Recommendation of health personnel----,2,Two to three times,More than a year,One to six months ago,Lack of support,Only by personal will,High desire to consume-Boredom----,2,Yes,I have no support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - a few days a month,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:58:41,1399/12/19-17:01:23,1399-12-19 16:58:41,1399-12-19 17:01:23,162,1399/12/19,16:58:41,1399/12/19,17:01:23
599,8gQO,M,48,141,فارس,شيراز,PhDs and above,Employee,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:57:16,1399/12/19-16:58:36,1399-12-19 16:57:16,1399-12-19 16:58:36,80,1399/12/19,16:57:16,1399/12/19,16:58:36
600,R2qy,F,67,127,فارس,شيراز,elementary,housewife,Yes sir,Yes sir,No,Yes sir,No,Yes sir,Yes sir,No,"It hurts, but very little",No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,16,Gain peace----Life pressure and stress-Imitate others------,3,Four times,3,After breakfast,Around noon,15 to 20 minutes,Traditional,the night,Yes,Home,At the suggestion of a first-class family,I strongly agree,No,They have fewer friends,No,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:53:47,1399/12/19-16:57:01,1399-12-19 16:53:47,1399-12-19 16:57:01,194,1399/12/19,16:53:47,1399/12/19,16:57:01
601,j6uO,M,37,129,فارس,شيراز,middle,manual worker,No,Yes sir,Yes sir,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,---Gain experience--Imitate others-As entertainment and fun-----,3,11 to 20 yarns (about one envelope),1,Half an hour to an hour,Around noon,Evening,No,Home,At the suggestion of friends,I strongly agree,No,They have more friends,No,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - a few days a month,I disagree,No,NA,Yes,1405,Spam,1399/12/19-16:41:12,1399/12/19-16:53:43,1399-12-19 16:41:12,1399-12-19 16:53:43,751,1399/12/19,16:41:12,1399/12/19,16:53:43
602,aH0I,M,32,127,فارس,شيراز,Masters,Employee,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,"It hurts, but very little",No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,23,---------Stubbornness towards parents-Mental-emotional problems-Despair Of The Future Of Life,3,once,0,After breakfast,the night,More than 20 minutes,Traditional,Around noon,Yes,Workplace,At the suggestion of a first-class family,I agree,No,They have fewer friends,Yes sir,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:39:15,1399/12/19-16:41:06,1399-12-19 16:39:15,1399-12-19 16:41:06,111,1399/12/19,16:39:15,1399/12/19,16:41:06
603,YZzs,M,42,127,فارس,شيراز,Masters,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,"It hurts, but very little",Yes,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,19,----Life pressure and stress-Imitate others---Curiosity---,3,once,4,After breakfast,Evening,10 to 15 minutes,Traditional,Evening,No,Home,At the suggestion of a first-class family,I strongly agree,No,They have more friends,Yes sir,No,Yes,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:34:31,1399/12/19-16:36:40,1399-12-19 16:34:31,1399-12-19 16:36:40,129,1399/12/19,16:34:31,1399/12/19,16:36:40
604,uaSA,F,60,127,فارس,شيراز,movement,housewife,No,No,Yes sir,No,Yes sir,Yes sir,No idea,No,It is no different from traditional,No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,30,--Gain pleasure-Gain experience-----Curiosity---,3,once,0,After breakfast,the night,15 to 20 minutes,Fruity,the night,No,Home,Out of curiosity,I agree,Yes,There is no difference or effect,It does not matter,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,Yes,1404,Spam,1399/12/19-16:34:09,1399/12/19-16:37:29,1399-12-19 16:34:09,1399-12-19 16:37:29,200,1399/12/19,16:34:09,1399/12/19,16:37:29
605,dlxm,M,42,127,فارس,شيراز,Bachelors,Free,Yes sir,Yes sir,Yes sir,No,Yes sir,No,Yes sir,No,"It hurts, but very little",No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,20,-Refreshment-Gain pleasure--Life pressure and stress-------,3,Twice,4,After breakfast,Around noon,5 to 10 minutes,Traditional,Around noon,No,Home,At the suggestion of friends,I agree,No,They have fewer friends,Yes sir,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:31:44,1399/12/19-16:33:45,1399-12-19 16:31:44,1399-12-19 16:33:45,121,1399/12/19,16:31:44,1399/12/19,16:33:45
606,kLyD,F,62,140,فارس,شيراز,Masters,Employee,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,Yes sir,A week ago,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:30:02,1399/12/19-16:31:27,1399-12-19 16:30:02,1399-12-19 16:31:27,85,1399/12/19,16:30:02,1399/12/19,16:31:27
607,qkbe,M,30,141,فارس,شيراز,Bachelors,Employee,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,I do not care,I do not care,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:28:09,1399/12/19-16:29:40,1399-12-19 16:28:09,1399-12-19 16:29:40,91,1399/12/19,16:28:09,1399/12/19,16:29:40
608,ybLj,M,27,140,فارس,شيراز,Bachelors,Free,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,No,Hookah fan,No,NA,0,Yes sir,Less than three days a week,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:23:36,1399/12/19-16:25:25,1399-12-19 16:23:36,1399-12-19 16:25:25,109,1399/12/19,16:23:36,1399/12/19,16:25:25
609,iMbV,M,28,140,فارس,شيراز,Masters,Student,Yes sir,Yes sir,Yes sir,Yes sir,No,No,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Advice not to smoke in my presence,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,Yes,1405,Spam,1399/12/19-16:21:57,1399/12/19-16:23:30,1399-12-19 16:21:57,1399-12-19 16:23:30,93,1399/12/19,16:21:57,1399/12/19,16:23:30
610,EhQm,F,26,141,فارس,شيراز,diplomas,housewife,Yes sir,Yes sir,Yes sir,Yes sir,No,No,No,No,"It hurts, but very little",No,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:20:12,1399/12/19-16:21:52,1399-12-19 16:20:12,1399-12-19 16:21:52,100,1399/12/19,16:20:12,1399/12/19,16:21:52
611,sEDC,F,46,138,فارس,شيراز,Bachelors,Free,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Recommended to leave,Yes sir,A week ago,Yes sir,3 to 4 days ago,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,Yes sir,seasonal allergy,Yes,1405,Spam,1399/12/19-16:18:09,1399/12/19-16:19:54,1399-12-19 16:18:09,1399-12-19 16:19:54,105,1399/12/19,16:18:09,1399/12/19,16:19:54
612,IZtK,F,30,141,فارس,شيراز,pre-university,housewife,Yes sir,Yes sir,Yes sir,No,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I do not know,No,NA,Yes,1405,Spam,1399/12/19-16:16:30,1399/12/19-16:18:04,1399-12-19 16:16:30,1399-12-19 16:18:04,94,1399/12/19,16:16:30,1399/12/19,16:18:04
613,oFlo,M,37,127,فارس,شيراز,middle,manual worker,Yes sir,Yes sir,No,Yes sir,No,Yes sir,Yes sir,No,"It hurts, but very little",Yes,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,17,Gain peace-Refreshment---Life pressure and stress-------,3,once,0,After breakfast,the night,10 to 15 minutes,Traditional,the night,No,Home,At the suggestion of friends,I strongly agree,No,They have more friends,It does not matter,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I agree to some extent,No,NA,Yes,1405,Spam,1399/12/19-16:14:14,1399/12/19-16:16:25,1399-12-19 16:14:14,1399-12-19 16:16:25,131,1399/12/19,16:14:14,1399/12/19,16:16:25
614,ZCHr,M,25,141,فارس,شيراز,diplomas,I'm looking for a job,Yes sir,No,Yes sir,No,No,Yes sir,Yes sir,No,"Yes, it is completely harmless",No,I do not consume at all,No,NA,0,No,NA,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1405,Spam,1399/12/19-16:10:48,1399/12/19-16:14:00,1399-12-19 16:10:48,1399-12-19 16:14:00,192,1399/12/19,16:10:48,1399/12/19,16:14:00
615,8Yg7,M,18,139,فارس,شيراز,diplomas,student,Yes sir,Yes sir,No,No,No,No,Yes sir,No idea,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Recommended to leave,No,NA,Yes sir,A week ago,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Only when you have a cold or infection,I completely disagree,Yes sir,I do not know,Yes,1405,Spam,1399/12/19-16:09:11,1399/12/19-16:10:42,1399-12-19 16:09:11,1399-12-19 16:10:42,91,1399/12/19,16:09:11,1399/12/19,16:10:42
616,usRu,M,60,129,فارس,شيراز,High School,Retired,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No idea,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,--Gain pleasure-Gain experience-----Curiosity---,3,1 to 10 yarns (half an envelope),0,More than an hour,Around noon,Evening,No,Home,Out of curiosity,I strongly agree,Yes,has no effect,It does not matter,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1404,Spam,1399/12/19-15:29:29,1399/12/19-15:33:15,1399-12-19 15:29:29,1399-12-19 15:33:15,226,1399/12/19,15:29:29,1399/12/19,15:33:15
